PPAP Number,PPAP Req'd by Customer,Current Status,PPAP/IMDS from,FK_Customer_ID,Country,Rev,IMDS number,PPAP docs,Level,PPAP samples status,Reason of Submission,Sent to Customer,PSW returned from Cust Signed,Origin from report,Comments,INSPECTION REPORT NUMBER
PP00003-1,7/13/2005,Approved 2020,VEN025,104,Mexico,,,,4,,Initial Submission,6/15/2020,8/24/2020,,,
PP00003-2,7/13/2005,Approved 2020,VEN025,107,Mexico,,,,4,,Initial Submission,6/15/2020,8/24/2020,,,
PP00003-3,7/13/2005,Approved 2020,VEN025,108,Mexico,,,,4,,Initial Submission,6/15/2020,8/24/2020,,,
PP00003-4,7/13/2005,Approved 2020,VEN025,105,Mexico,,,,4,,Initial Submission,6/15/2020,8/24/2020,,,
PP00003-5,7/13/2005,Approved 2020,VEN025,103,Mexico,,,,4,,Initial Submission,6/15/2020,8/24/2020,,,
PP00007-1,7/13/2005,Approved 2021,VEN238,5552,Poland,,,,2,,Initial Submission,6/17/2021,6/21/2021,,,
PP00008-01,7/13/2005,Approved 2021,VEN238,5554,Mexico,,,,2,,Initial Submission,10/5/2021,6/10/2021,,,
PP00008-01,7/13/2005,Approved 2021,VEN238,5554,Mexico,,,,2,,Initial Submission,10/5/2021,6/10/2021,,,
PP00008-02,7/13/2005,Approved 2021,VEN238,5556,Mexico,,,,2,,Initial Submission,10/5/2021,6/10/2021,,,
PP00008-02,7/13/2005,Approved 2021,VEN238,5556,Mexico,,,,2,,Initial Submission,10/5/2021,6/10/2021,,,
PP00010-1,7/13/2005,Approved 2021,VEN238,5236,Hungary,,,,2,,Initial Submission,10/24/2021,2/11/2021,,,
PP00010-2,7/13/2005,Approved 2021,VEN238,5238,Hungary,,,,2,,Initial Submission,10/24/2021,2/11/2021,,,
PP00016-3,7/13/2005,Approved 2022,VEN238,5246,North America,,,,2,,Initial Submission,5/12/2022,5/19/2022,,,
